condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,56,0,1.0,1,16,1.0,0.42000002,0.42000002,1.016259,0.09632544,0.0,0.0,0.0,0.0,0.0,-26.491938,26.0,2.2358143,0.74527144,0.14,0.0,100,0.12611115,-0.0006767383,51.217514,1.6093221,25.591988,1.0,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,56,1,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0481787,0.089499645,0.0,0.0,0.0,0.0,0.0,-27.348307,26.000002,2.306039,0.76867974,0.15200001,0.0,125,0.15852404,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,56,2,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0402503,0.09114853,0.0,0.0,0.0,0.0,0.0,-28.517931,26.000002,2.2885964,0.7628655,0.15200001,0.0,125,0.17709509,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,56,3,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0018765,0.099568866,0.0,0.0,0.0,0.0,0.0,-27.423704,26.000002,2.2041721,0.73472404,0.16000001,0.0,125,0.14103608,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,56,4,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0612255,0.08685093,0.0,0.0,0.0,0.0,0.0,-27.53978,26.000002,2.3347428,0.7782476,0.136,0.0,125,0.1471296,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,56,5,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0511383,0.088891804,0.0,0.0,0.0,0.0,0.0,-27.617027,26.000002,2.3125503,0.7708501,0.136,0.0,125,0.14936452,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,56,6,0.0,1,16,0.42000002,0.42000002,0.42000002,0.9941153,0.101364225,0.0,0.0,0.0,0.0,0.0,-26.744184,26.000002,2.1870973,0.72903246,0.16000001,0.0,125,0.12540627,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,56,7,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0289705,0.09354693,0.0,0.0,0.0,0.0,0.0,-27.244177,26.000002,2.2637804,0.7545935,0.16000001,0.008,125,0.14009333,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,56,8,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0768398,0.08378382,0.0,0.0,0.0,0.0,0.0,-28.744541,26.000002,2.3690948,0.7896983,0.120000005,0.0,125,0.1703901,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,56,9,0.0,1,16,0.42000002,0.42000002,0.42000002,1.007795,0.098221146,0.0,0.0,0.0,0.0,0.0,-26.972569,26.000002,2.2171931,0.7390644,0.16800001,0.0,125,0.1406626,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,56,10,0.0,1,16,0.42000002,0.42000002,0.42000002,0.993886,0.10141774,0.0,0.0,0.0,0.0,0.0,-26.592228,26.000002,2.1865928,0.7288643,0.14400001,0.0,125,0.14731029,,,,,,,,,0
